study_accession	field	gap_samples	escalate_trigger	resolution	cluster_theme	suggested_value	region_hint	grader_quote	paper_excerpt	fulltext_status	answer	answer_note
PRJDB6407	isolation_source	141	residual(141/141=100%_blank)	wide_mix_skip	Four distinct body-system specimen types (blood, pus/wound, urine, respiratory); blood and pus together reach only 88% and the mix includes non-invasive sites (urine, sputum) that fall outside the 'invasive infection sites' tight-cluster criterion			clinical specimens, including blood (12/25, 48.0%), pus (10/25, 40.0%), urine (2/25, 8.0%), and sputum (1/25, 4.0%)	There was a report that out of 27 carbapenem-resistant Klebsiella pneumoniae isolated from patients in a medical institution in Hanoi, Vietnam from 2014 to 2015, two isolates belonging to sequence type 395 (ST395) harbored bla NDM-1 , and five isolates belonging to ST15, ST16, and ST2353 harbored bla NDM-4 [ 4 ]. … pneumoniae isolates with bla NDM-1 were isolated from water samples in Hanoi, Vietnam in 2011 and belonging to ST283 [ 5 ]. … 1% (47/69) of CRE isolates from 45 patients in a medical institution in Hanoi, Vietnam from 2010 to 2012, and some of isolates could be shown to transfer bla NDM to Escherichia coli [ 6 ], suggesting that bla NDM had spread via plasmids among Enterobacteral	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB21132	collection_date	130	residual(130/130=100%_blank)	wide_mix_skip	collection span None months (?–?); no_dates					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB21132	host	130	residual(130/130=100%_blank)	wide_mix_skip	Proficiency test panel targeting multiple bacterial pathogens — host is genuinely wide and unknown with no evidence to determine a dominant value					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB21132	isolation_source	130	residual(130/130=100%_blank)	wide_mix_skip	Proficiency test panel covering multiple bacterial pathogens — isolation sources are genuinely wide and mixed with no single dominant specimen type determinable from the evidence			The PT consists of two component, 'wet-lab' and 'dry-lab' targeting various bacterial pathogens.		none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJDB11378	isolation_source	129	residual(129/129=100%_blank)	wide_mix_skip	No paper text available and ENA metadata does not specify isolation source distribution; cannot determine whether specimens are homogeneous or mixed					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB55414	isolation_source	114	residual(114/114=100%_blank)	wide_mix_skip	Wide mix of unrelated specimen types: urine (dominant in Spain at 64%), rectal/perineum colonisation swabs (dominant in Netherlands at ~51%), blood, and respiratory/wound/abscess sources — invasive sites (blood) mixed with carriage/screening (rectal, perineum) and urinary specimens across both countries			Isolates were mostly from urine (ES, 64.2%, n=34/53; NL, 23%, n=14/61 [including two isolates from catheter]), blood (ES, 24.5%, n=13/53; NL, 3.3%, n=2/61), and perineum (NL, 19.6%, n=12/61) or rectum (NL, 31.1%, n=19/61). Less-common isolation sources included the respiratory system, wounds, and abscesses.	Widespread Detection of Yersiniabactin Gene Cluster and Its Encoding Integrative Conjugative Elements (ICE<i>Kp</i>) among Nonoutbreak OXA-48-Producing <i>Klebsiella pneumoniae</i> Clinical Isolates from Spain and the Netherlands. … Whole-genome sequencing (WGS) data allows rapid screening of the bacterial genomic pathogenicity and particularly third-generation (long-read) sequencing allows a deeper analysis of the MGEs involved. … pneumoniae clinical isolates from Spain and the Netherlands based on the presence of core and accessory virulence factors and revealed their genetic location, plasmid or chromosomal, to assess their spread mechanisms and their concurrence with antibiotic-resistant	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA857533	isolation_source	113	residual(113/113=100%_blank)	wide_mix_skip	Reference laboratory surveillance isolates — MDU-PHL receives Klebsiella from multiple specimen types (blood, urine, respiratory, wound, etc.) across Victoria; no single dominant source is stated or inferable from the paper or EBI metadata			The Microbiological Diagnostic Unit Public Health Laboratory (MDU PHL) is a state reference laboratory for bacterial pathogens, including carbapenemase-producing Enterobacterales (CPE), Acinetobacter spp., Pseudomonas spp., vancomycin-resistant enterococci (VRE) and enteric pathogens	Using the outputs from AMRFinderPlus , AMR mechanisms are further classified by antimicrobial class and/or mechanism to suit clinical and public health microbiology (CPHM) needs, and subsequently filtered according to local reporting requirements, with results ready for incorporation into sample reports (overview Fig. … Source data are provided as a Source Data file. … 7% (355/356 alleles correctly identified) Limit of detection Accuracy 99. … 6%) resistance genes correctly detected, and compared well to Sanger sequencing (carbapenemase allele calling) with 355/356 (99.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA611540	host	112	grader_proposed	wide_mix_skip	Wide mix of environmental (hospital wastewater: drain, P-trap, toilet/hopper) and human patient-derived isolates; ENA shows 11/123 already labelled Homo sapiens (~9%), implying ~91% environmental — below the 95% threshold, and the two categories (human vs. wastewater environment) are genuinely unrelated host types			456 (73%) of which were sequenced (201 drain, 133 P-trap, and 122 toilet/hopper)... Forty-seven patient-derived KPCO isolates were sequenced	Many studies have explored risk factors for patient acquisition of carbapenemase-producing Enterobacterales (CPE) ( 3 – 5 ), but risk factors for CPE establishment in hospital wastewater plumbing are less well defined. … Designs that promote or disturb drain biofilm, misuse of sinks, and placement of patient care materials adjacent to sinks have all been associated with sink-related infections ( 6 ). … Exposure to colonized patients could be another important factor in CPE establishment in hospital wastewater plumbing, but current evidence supporting this is largely anecdotal. … Use of sinks to dispose of patient secretions has been associated with sink colonization ( 9 ), and environmental 	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB20809	collection_date	111	residual(111/111=100%_blank)	wide_mix_skip	collection span 36 months (2016–2018); escalate_blank			Between June and December 2016, 453 ICU patients were potentially eligible for enrolment in the study... Blood cultures collected within the hospital between 2016 and 2018 that were positive for K. pneumoniae were included in the sequence analysis	Impact Statement In the UK, there has been an increase in the prevalence of multidrug-resistant Gram-negative bacterial (MDR GNB) infections over the past decade. … We conducted a prospective genomic surveillance study for MDR GNB in all patients admitted to an adult ICU over a 6-month period in the UK. … European surveillance data estimated that 800,000 infections in the EU/EEA in 2020 were due to antibiotic-resistant bacteria along with continued large increases in carbapenem resistance in K. … ESBL and CR mechanisms are frequently located on plasmids, which move between lineages, species and genera.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB20809	isolation_source	111	grader_proposed	wide_mix_skip	Wide mix of carriage/screening and invasive specimens: stool/rectal swabs (60% of K. pneumoniae samples), respiratory (15%), urine, wound, blood cultures, and environmental swabs — invasive infection sites are explicitly mixed with carriage/colonisation screening sites, precluding a single dominant value.			For K. pneumoniae, 60% (n=36/60) of positive samples were stool associated... 15% (n=9/60) for K. pneumoniae [respiratory]... Five blood samples were positive for K. pneumoniae... Blood cultures collected within the hospital between 2016 and 2018 that were positive for K. pneumoniae were included in the sequence analysis	Bacterial populations carried asymptomatically undermine efforts to reduce MDR pathogen burden and are not subject to the same mandatory surveillance requirements for Gram-negative bloodstream infections in the UK. … The impact of the asymptomatic carriage of MDR GNB on critically ill patients remains unclear. … Prior to this study, patients admitted to the adult ICU underwent screening for carbapenemase-producing Enterobacterales (CPE) only if they had defined risk factors (i. … Here, every patient admitted to the ICU was screened for MDR GNB, regardless of whether they met screening recommendations.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB40861	host	109	residual(109/109=100%_blank)	wide_mix_skip	Wide mix of human patients, hospital surfaces (environmental), and arthropods (spiders/insects) — three unrelated host categories with no single dominant value at 95%+			connectivity of MDRB among post-surgical infections (PSI), hospital surfaces (HS) and spiders/insects (SI) in a LMIC hospital		none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB40861	isolation_source	109	residual(109/109=100%_blank)	wide_mix_skip	Wide mix of unrelated sources: post-surgical infection wounds, hospital surfaces (environmental), and insect/spider bodies — spanning invasive clinical specimens, inanimate environmental surfaces, and arthropod vectors with no single source at ≥95%.			recovered from PSI, HS and SI, 177, 107 and 549 isolates, respectively		none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB8666	collection_date	106	residual(106/106=100%_blank)	wide_mix_skip	collection span None months (?–?); no_dates				iNTS disease is widespread across the sampled locations. … 4–6 A recent multi-centre study across 10 countries in sub-Saharan Africa identified iNTS as a major cause of bacteraemia in febrile patients, with incidence rates exceeding 100 cases per 100 000 person-years recorded in multiple sampling locations. … 14 Here, we subjected a contemporaneous collection of iNTS organisms from multiple sites in sub-Saharan Africa to whole genome sequencing to investigate the phylogenetic distribution of these organisms and their corresponding sequence types (STs) and antimicrobial resistance (AMR) determinants. … We also estimated the incidence rates of MDR iNTS disease in the sampling locations and per	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB8666	country	106	residual(106/106=100%_blank)	wide_mix_skip	Multi-country sub-Saharan African surveillance spanning West, East, and Southern Africa — no single country reaches 95% dominance and the geographic spread crosses multiple distinct sub-regions			A survey across centres in Africa into the main bacterial causes of bloodstream infections. [...] isolates from Burkina Faso (12), Ghana (133), Guinea-Bissau (9), Kenya (1), Madagascar (4), Senegal (2), South Africa (1), Tanzania (4)	The genomic epidemiology of multi-drug resistant invasive non-typhoidal <i>Salmonella</i> in selected sub-Saharan African countries. … iNTS disease is widespread across the sampled locations. … The incidence of MDR-iNTS disease exceeded 100/100 000 person-years-of-observation in children aged <5 years in several West African countries. … However, certain non-typhoidal Salmonella serovars are also a recognised cause of invasive disease in specific geographical regions.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA532924	isolation_source	106	residual(106/106=100%_blank)	wide_mix_skip	Varied clinical specimen types from a hospital core clinical laboratory — no single specimen type dominates; EBI description explicitly states 'varied set of clinical infectious bacterial pathogens' and the paper covers only E. coli and P. aeruginosa, providing no specimen-type breakdown for the 106 Klebsiella samples			Illumina sequencing of a varied set of clinical infectious bacterial pathogens from Hamilton, Ontario hospitals.	The World Health Organization has reported high resistance to fluoroquinolones and third-generation cephalosporins when treating urinary tract E. … As such, genotypic methods that exploit high-throughput DNA sequencing technology combined with bioinformatics resources have the potential to be faster and more accurate and informative than the current phenotypic paradigm [ 5 ]. … The Antibiotic Resistance Gene-ANNOTation database [ 8 ] and Pathosystems Resource Integration Center [ 9 ] store a similar breadth of resistance determinants to CARD and also use blast -based tools for resistome annotations. … Columns show the number and percentage of sampled isolates with at least one AMR determinan	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA646855	host	105	grader_proposed	wide_mix_skip	Mixed wildlife and environmental hosts: paper covers ~39 flying fox isolates (~37% of 105 ENA samples); EBI description explicitly states 'wildlife and environmental samples', indicating the remaining ~66 samples likely span other wildlife species and/or environmental sources — genuinely wide, unrelated host categories with no single dominant value at ≥95%.			Whole genome sequencing of Klebsiella species from Australian wildlife and environmental samples.	, 2021 ), hence surveillance of potential reservoirs of problematic Kp SC sequence types (STs), along with detection of mobile antimicrobial resistance and virulence determinants, is essential for elucidating the potential routes and/or modes of transmission into the human population. … Aside from humans, Kp SC have also been isolated from a wide variety of environments including soil (Melo‐Nascimento et al . … , 2017 ), animals including cats and dogs (Marques et al . … , 2021 ), agricultural animals (Hamza et al .	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA1076808	isolation_source	104	residual(104/104=100%_blank)	wide_mix_skip	Wide mix of invasive infection specimens and carriage/colonisation screening swabs — the study explicitly includes both symptomatic-infection isolates (multiple invasive sites) and asymptomatic carriership isolates, which is the canonical wide-mix scenario precluding a single dominant value.			MRSA isolates cultured for patient care (from symptomatic infections or asymptomatic carriership)	Twenty-four samples were pooled, and after clean-up, the sequencing adapters (RAP reagent) were added. … The sequence run was started with live basecalling and demultiplexing enabled using the MinKNOW software through a GridION device with 5 kHz data acquisition enabled for all samples. … However, the actual basecalling for analysis in this study was performed on the resulting barcoded pod5 directories using Dorado 0. … Only for Flye and Canu assemblers all carbapenemase genes were correctly detected within the MDRO tested (Additional file 4: Table S3).	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB36370	collection_date	103	residual(103/103=100%_blank)	wide_mix_skip	collection span 60 months (2014–2018); escalate_blank			From January 2014 to June 2018, 103 carbapenemase-producing K. pneumoniae complex member isolates were collected from 102 patients.	International Journal of Antimicrobial Agents 55 (2020) 105931 Contents lists available at ScienceDirect International Journal of Antimicrobial Agents journal homepage: www. … Justesen f, Claus Østergaard g, Turid Søndergaard h, Esad Dzajic i, Mikala Wang j, David Fulgsang-Damgaard k, Karina Lauenborg Møller l, Lone Jannok Porsbo m , 2, Henrik Hasman a , 2 a Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark b Department of Clinical Microbiology, Herlev and Gentofte Hospital, Herlev, Denmark c Department of Clinical Microbiology, Hvidovre University Hospital, Hvidovre, Denmark d Department of Clinical Microbiology, Rigshospitalet, Copenhagen, Denmark e D	local_pdf		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB36370	isolation_source	103	residual(103/103=100%_blank)	wide_mix_skip	Mixed screening swabs (CPE colonisation surveillance) and clinical infection specimens — invasive sites combined with carriage/screening specimens, a genuinely wide mix that precludes a single dominant value.			voluntarily submitted possible carbapenemase-producing screening and clinical isolates belonging to K. pneumoniae complex	International Journal of Antimicrobial Agents 55 (2020) 105931 Contents lists available at ScienceDirect International Journal of Antimicrobial Agents journal homepage: www. … For five of the 13 clusters, a direct link (the patients stayed at the same ward on the same day) could be detected between at least some of the patients. … Blem contributed equally to the direction, preparation, and writing of the manuscript. … Porsbo and Henrik Hasman contributed equally to the direction, preparation, and writing of the manuscript.	local_pdf		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB50545	isolation_source	100	residual(100/100=100%_blank)	wide_mix_skip	Genuinely wide mix: human fecal/perianal carriage (101/171 = 59%), diverse environmental sources including LTCF surfaces/U-bends/wastewater/rivers (57/171 = 33%), and food (13/171 = 8%) — no single value reaches 95% and the categories span human carriage, built environment, wastewater, and food.			Unique isolates (n): human 101 [ESBL-Kp], human-polluted environment 57 [ESBL-Kp], food 13 [ESBL-Kp]; Composition human-polluted environment: LTCF surface 8, LTCF U-bend 13, LTCF wastewater outflow 15, wastewater treatment plant inflow 9, downstream river 12.	Extended-spectrum beta-lactamase-producing Escherichia coli and Klebsiella pneumoniae from human carriage, the human-polluted environment, and food: Molecular epidemiology of two prospective cohorts in five European metropolitan areas. … Furthermore, previous studies have shown that intestinal carriage of ESBL-producing Enterobacterales will result in infection in 8% of carriers [ 3 ]. … Scientific effort has been put into elucidating reservoirs of human carriage for these bacteria, but the data on the relevance of sources outside humans are conflicting [ 4 – 7 ]. … Five studies have been performed in a retrospective way and were mostly single-center ( n = 3), with relatively small sample si	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA411762	host	93	residual(93/157=59%_blank)	wide_mix_skip	Wide mix: human patient isolates plus hospital environmental isolates (sink drains, P-trap water, shower drains) — genuinely different host categories with no dominant value at 95%+			A collection of Gammaproteobacteria isolated from environmental and patient sources originating from a single hospital in the United States	<i>Klebsiella quasipneumoniae</i> Provides a Window into Carbapenemase Gene Transfer, Plasmid Rearrangements, and Patient Interactions with the Hospital Environment. … Klebsiella pneumoniae has proven to be an important contributor to the modern antibiotic resistance epidemic, with its ability to acquire and carry antimicrobial resistance plasmids, as well as being successful as a human pathogen. … quasipneumoniae was originally thought to be largely confined to agriculture and the environment; however, it appears that it may also be prominent in human disease ( 3 ), and several recent reports have demonstrated that it harbors virulence factors and acquires clinically relevant genes of antim	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB55414	collection_date	75	residual(75/114=66%_blank)	wide_mix_skip	collection span 84 months (2011–2017); blank_wide			All OXA-48-Kp-NL isolates collected in 2016 and 2017 were included in this study... We selected OXA-48-Kp-ES isolates based on predominant STs and common STs with NL collection, collected between 2011 and 2013.	ICEs are chromosomally located gene clusters that encode phage-linked integrases, conjugation proteins, and other genes associated with virulence or resistance and which can be transferred between cells. … pneumoniae clinical isolates collected from Spain and the Netherlands. … pneumoniae collection using core genome multilocus sequence typing (cgMLST) and core genome single nucleotide polymorphism (cgSNP) approaches to confirm enough genetic variability and to investigate virulent patterns within K. … All CTs were formed by isolates from different hospitals, except one (CT10) in which two isolates were from the same Dutch hospital but isolated in different years (2016 and 2017) ( Fig.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB50545	country	52	residual(52/100=52%_blank)	wide_mix_skip	Five countries across Western Europe (France, Switzerland, Spain, Germany, Netherlands) — multi-country with no single dominant country; samples spread across all five sites			Two prospective cohort studies were conducted between November 1st 2017 and August 31st 2019 in five European metropolitan areas: Besançon (France), Geneva (Switzerland), Seville (Spain), Tübingen (Germany), and Utrecht (the Netherlands).	Briefly, the household study recruited ESBL-Ec- and ESBL-Kp-positive index patients during hospitalization. … Ethics The institutional review board of the university hospitals of Besançon, Geneva, Seville, Tübingen, and Utrecht reviewed, and approved the studies or waived the need for further ethical review. … In silico molecular typing ARGs conferring resistance to clinically relevant antimicrobials were identified using ResFinder (v3. … txt ) and EUCAST Clinical Breakpoint Tables (v13.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB50545	host	52	grader_proposed	wide_mix_skip	Wide mix across human, human-polluted environment, and food: 101 human ESBL-Kp (~59%), 57 environmental (wastewater, LTCF surfaces, rivers) (~33%), and 13 food (~8%) — three distinct, unrelated host/source categories with no single dominant value at ≥95% and no homogeneous subcategory.			Unique isolates (n) … human 101 [ESBL-Kp], human-polluted environment 57 [ESBL-Kp], food 13 [ESBL-Kp]	Extended-spectrum beta-lactamase-producing Escherichia coli and Klebsiella pneumoniae from human carriage, the human-polluted environment, and food: Molecular epidemiology of two prospective cohorts in five European metropolitan areas. … Introduction Antimicrobial resistance was declared as one of the top 10 public health threats facing humanity by the World Health Organization in 2019 [ 1 ]. … Furthermore, previous studies have shown that intestinal carriage of ESBL-producing Enterobacterales will result in infection in 8% of carriers [ 3 ]. … Scientific effort has been put into elucidating reservoirs of human carriage for these bacteria, but the data on the relevance of sources outside hum	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
