value	count	parsed	category	poor_fit	na_reason
Pus PD catheter	1	Pus at PD catheter site	clinical_device_surface	False	
Peritoneal fluid	1	Peritoneal fluid	pleural_body_fluid	False	
Abdominal wall sinus	1	Abdominal wall sinus	skin_soft_tissue_wound	False	
Abscess - Chest wall	1	Abscess - chest wall	skin_soft_tissue_wound	False	
Synovium	1	Synovium	bone_joint_deep_tissue	False	
Tissue - Submental mass	1	Tissue - submental mass	lymph_node	False	
sewer water	1	Sewer water	water_environment	False	
Abscess - left neck	1	Abscess - left neck	skin_soft_tissue_wound	False	
swab	1	Swab	NA	False	uninformative
Portacath site swab	1	Portacath site swab	clinical_device_surface	False	
Forearm lf	1	Forearm, left	skin_soft_tissue_wound	False	
Tissue - knee	1	Tissue - knee	bone_joint_deep_tissue	False	
Pleurl fl	1	Pleural fluid	pleural_body_fluid	False	
Left cervical lymph node	1	Left cervical lymph node	lymph_node	False	
chest wound	1	Chest wound	skin_soft_tissue_wound	False	
Tissue - tibia	1	Tissue - tibia	bone_joint_deep_tissue	False	
Sink	1	Sink	water_environment	False	
Aerator	1	Aerator	water_environment	False	
Chest wound drainage	1	Chest wound drainage	skin_soft_tissue_wound	False	
leg biopsy	1	Leg biopsy	skin_soft_tissue_wound	False	
Wound, Cheek, Left	1	Wound, left cheek	skin_soft_tissue_wound	False	
CPAP machine	1	CPAP machine	clinical_device_surface	False	
eye	1	Eye	eye_ear	False	
abdomen	1	Abdomen	skin_soft_tissue_wound	False	
TZD-resistant strain induced by ATCC19977, sample T1	1	TZD-resistant strain induced by ATCC19977, sample T1	NA	False	laboratory
breast	1	Breast	skin_soft_tissue_wound	False	
breast abscess	1	Breast abscess	skin_soft_tissue_wound	False	
thigh	1	Thigh	skin_soft_tissue_wound	False	
Water-fountain	1	Water fountain	water_environment	False	
pus	1	Pus	skin_soft_tissue_wound	False	
mammary cyst biopsy	1	Mammary cyst biopsy	skin_soft_tissue_wound	False	
breast biopsy	1	Breast biopsy	skin_soft_tissue_wound	False	
Extrapulmonary-Other	1	Extrapulmonary (other)	extrapulmonary_unspecified	False	
soft tissue (knee)	1	Soft tissue (knee)	skin_soft_tissue_wound	False	
Volcanic Ash	1	Volcanic ash	water_environment	False	
bronchoalveolar fluid	1	Bronchoalveolar fluid	lower_respiratory_bronchoscopy	False	
Left lower abdomen	1	Left lower abdomen	skin_soft_tissue_wound	False	
ATCC Strain	1	ATCC Strain	NA	False	laboratory
Shin rt	1	Right shin	skin_soft_tissue_wound	False	
water feed interior (at valve)	1	Water feed interior (at valve)	water_environment	False	
Tissue - wrist	1	Tissue - wrist	bone_joint_deep_tissue	False	
Tissue - metacarpal	1	Tissue - metacarpal	bone_joint_deep_tissue	False	
bone	1	Bone	bone_joint_deep_tissue	False	
Neck - posterior nasopharynx	1	Neck - posterior nasopharynx	respiratory_unspecified	False	
PD catheter site	1	PD catheter site	clinical_device_surface	False	
Drain fl - iliopsoas fluid	1	Iliopsoas drain fluid	pleural_body_fluid	False	
Ear sw,lft	1	Ear swab, left	eye_ear	False	
Conju lft	1	Conjunctiva, left	eye_ear	False	
Fluid - infecte pacemaker pocket	1	Infected pacemaker pocket fluid	clinical_device_surface	False	
urine	1	Urine	gastrointestinal_urinary	False	
Wound sw	1	Wound swab	skin_soft_tissue_wound	False	
wound	1	Wound	skin_soft_tissue_wound	False	
Tissue - LN	1	Tissue - lymph node	lymph_node	False	
Biopsy - submandibular swelling	1	Biopsy - submandibular swelling	lymph_node	False	
Left brea	1	Left breast	skin_soft_tissue_wound	False	
Biopsy finger/skin	1	Biopsy, finger/skin	skin_soft_tissue_wound	False	
Non-CF patient	1	Non-CF patient	NA	False	uninformative
Eye type, Cornea	1	Eye - cornea	eye_ear	False	
Respiratory, Lower, Sputum-Expectorated Collected 8/20/2021	1	Respiratory, lower, sputum-expectorated, collected 8/20/2021	sputum	False	
ATCC Isolate	1	ATCC Isolate	NA	False	laboratory
