study_accession	field	gap_samples	escalate_trigger	resolution	cluster_theme	suggested_value	region_hint	grader_quote	paper_excerpt	fulltext_status	answer	answer_note
PRJEB45369	host	84	residual(84/84=100%_blank)	wide_mix_skip	Wide mix of humans (hospital patients, long-term care patients, daycare infants) and animals (broilers, weaned pigs) — no single host dominates at >=95%			patients in hospitals and in long-term healthcare facilities, infants at day-care facilities, and broilers and weaned pigs		none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB42526	collection_date	83	residual(83/83=100%_blank)	wide_mix_skip	collection span 96 months (2011–2018); blank_wide			Human isolates were isolated from consecutive clinical samples submitted to the clinical microbiology laboratory at Joseph N France General Hospital between March 2017 and January 2018, whereas animal isolates from clinical samples were collected by the diagnostic laboratory at Ross University School of Veterinary Medicine over the period of 2011–2018.	pneumoniae might be transmitted between dogs and owners within the same household [ 17 ], and that human and canine strains causing UTI are genetically related [ 9 , 17 , 18 , 19 ]. … pneumoniae isolates obtained at the diagnostic laboratories of a hospital and a veterinary school on the small Caribbean island of St. … The island is an ideal place to perform this type of study since it is a small island of about 174 km 2 with an estimated population of approximately 57,000 people, and an even larger population of African green monkeys or vervets ( Chlorocebus sabaeus ) that were introduced during the 17th century on ships running the slave trade from Africa. … Available local isolates obtain	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA342893	isolation_source	80	residual(80/80=100%_blank)	wide_mix_skip	Wide mix of carriage/screening specimens (stool/rectal swab 62%) combined with multiple invasive infection sites (urine, wound, bone/soft tissue, blood, hepatobiliary, respiratory, abscess); rubric explicitly excludes adoption when invasive sites are mixed with rectal/stool carriage screening			Stool/Rectal Swab (n=267, 62.1%) followed by Urine (n=48), Wound swab (n=30), Bone and soft tissues (n=26), Blood (n=22), Hepatobiliary specimen (n=14), Respiratory specimens (n=12), Abscesses (n=11)	Subjects answered a standardized epidemiologic questionnaire and provided samples for this study. … Among 430 CRE isolates from the 249 subjects, 307(71. … the types of specimens, and their genotypes). … Hospital-level Since 2010, there has been a dramatic increase in cases of patient-days (denominator data) and the total number of CRE, especially carbapenemase-producing Enterobacteriaceae patients screened for CRE by rectal surveillance cultures were (CPE).	local_pdf		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB42526	host	77	grader_proposed	wide_mix_skip	Wide mix of unrelated host categories: human clinical patients (51/82, ~62%), wild non-human primates/vervets (21/82, ~26%), and multiple domesticated animal species — horses, dogs, cat (10/82, ~12%). No single host reaches 95%, and the mix spans humans, wild primates, and domesticated animals — genuinely wide, not a homogeneous cluster.			82 presumptive K. pneumoniae isolates from humans (n=51), vervets (n=21), horses (n=5), dogs (n=4) and a cat (n=1)	One Health Genomic Study of Human and Animal <i>Klebsiella pneumoniae</i> Isolated at Diagnostic Laboratories on a Small Caribbean Island. … While there are many publications describing the epidemiology, pathogenicity and antimicrobial resistance of this pathogen in humans [ 1 ], little information is available on clinical isolates from animals [ 2 , 3 , 4 , 5 ]. … The types of infections seen in these animal species, except for mastitis in cattle, are similar to those observed in humans, mainly urinary tract infections (UTI) and septicemia [ 9 ]. … Comparing the genomes of strains of different host origin can be used as one means of estimating the risk of across-host transfer, including zoo	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB42526	isolation_source	77	residual(77/83=93%_blank)	wide_mix_skip	Mixed host-species clinical specimens: human clinical samples plus animal clinical samples from vervets, horses, dogs, and cats — no single isolation source dominates at 95%+			82 presumptive K. pneumoniae isolates from humans (n=51), vervets (n=21), horses (n=5), dogs (n=4) and a cat (n=1) on St. Kitts. Human isolates were isolated from consecutive clinical samples submitted to the clinical microbiology laboratory at Joseph N France General Hospital between March 2017 and January 2018, whereas animal isolates from clinical samples were collected by the diagnostic laboratory at Ross University School of Veterinary Medicine	While there are many publications describing the epidemiology, pathogenicity and antimicrobial resistance of this pathogen in humans [ 1 ], little information is available on clinical isolates from animals [ 2 , 3 , 4 , 5 ]. … The types of infections seen in these animal species, except for mastitis in cattle, are similar to those observed in humans, mainly urinary tract infections (UTI) and septicemia [ 9 ]. … Carbapenem resistance has been documented in clinical isolates from companion animals but also, in some cases, from livestock [ 14 ]. … A growing number of reports on the occurrence of OXA-48 and other types of carbapemenases in bacteria isolated from companion animals have been publi	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA1050414	isolation_source	72	residual(72/72=100%_blank)	wide_mix_skip	No specimen type information provided for the retrospective clinical set B isolates; cannot determine whether sources are homogeneous or mixed			One study involved 376 K. pneumoniae isolates collected between 2010 and 2013 and stored in a tertiary hospital (clinical sample set B).	RESULTS Characteristics of four distinct virulence plasmid types from 310 hv-CRKP isolates From July 2017 to July 2018, 498 nonduplicated CRKP isolates (clinical sample set A) (data S1) were collected from hospitalized patients across eight tertiary hospitals in China and subjected to short-read sequencing. … Genes are represented by rectangles, and the major plasmids’ gene loci are shown with a color-based legend according to their function. … Rectangles at the top and the bottom of the track depict genes on the forward strand and the reverse strand respectively. … isolated from pigs ( 26 – 28 ) ( Fig.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA1061342	isolation_source	71	residual(71/71=100%_blank)	wide_mix_skip	Wide mix of distinct clinical infection specimen types (respiratory, blood, urine, abdominal, skin/soft tissue, CNS) spanning multiple unrelated body systems; no single source reaches 95% dominance and the spread matches the rubric's own exemplar of a wide mix (blood + urine + respiratory + wound).			The most common infection types in all CRE were respiratory tract infections (RTIs; 46.7%, 3,084/6,609), followed by bloodstream infections (BSIs; 18.1%, 1,197/6,609), urinary tract infections (UTIs; 16.7%, 1,105/6,609), intra-abdominal infections (IAIs; 6.7%, 446/6,609), skin and soft tissue infections (SSTIs; 6.4%, 423/6,609), and central nervous system infections (CNSIs; 0.7%, 47/6,609).	DrugResistanceUpdates74(2024)101083 Contents lists available at ScienceDirect Drug Resistance Updates journal homepage: www. … Sixty-four cities in 28 provinces from which CRE isolates were sampled for this study. … The intensity of the red color represents the number of isolates collected at each sampling city. … aId=862), which used as the cutoff for species-level determination, consistent with the assessed samples from 776,145 Escherichia coli and manufacturer’s specifications for MALDI–TOF MS.	local_pdf		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB50346	collection_date	70	residual(70/70=100%_blank)	wide_mix_skip	collection span None months (?–?); no_dates			prototype project ... for 4 years		none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJDB4948	isolation_source	69	residual(69/69=100%_blank)	wide_mix_skip	No paper text available and no ENA specimen distribution provided; cannot determine whether isolation sources are homogeneous or mixed					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB7967	collection_date	69	residual(69/69=100%_blank)	wide_mix_skip	collection span 204 months (1996–2012); blank_wide			The strains were isolated in the period from 1996 to 2012 and originated from seven different countries in Africa, Asia, Europe, and North America	pneumoniae has become the most common etiologic agent of liver abscess over the last decades. … pneumoniae liver abscess is now considered an endemic disease in Taiwan, where an almost 60% rise in the annual incidence from 1996 to 2004 has been observed ( 6 ). … 2% of liver abscess cases in 2004 and 2005 were caused by K. … 3% in the period from 1970 to 1979 ( 7 ).	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB7967	country	69	residual(69/69=100%_blank)	wide_mix_skip	Six countries across four continents (North America, Europe, Africa, Asia) with no single dominant country and no homogeneous regional cluster			A total of 67 K. pneumoniae clinical isolates sampled in Canada, Denmark, Norway, South Africa, Taiwan, and the United States in the period from 1996 to 2012	pneumoniae liver abscess syndrome has been primarily reported within Southeast Asia, an increasing number of cases reported from other geographic regions, including North America and Europe, indicates that the syndrome is turning into a globally emerging disease ( 5 , 8 ). … pneumoniae isolates from other infection types, supporting that these isolates indeed are hypervirulent ( 12 , 16 ). … Furthermore, additional iron acquisition systems, such as yersiniabactin encoded by an integrative and conjugative element (ICE) (ICE Kp1 ) and the kfu operon, as well as a region associated with allantoin metabolism and a fimbrial gene cluster, kpc , have been associated with specific hvKP strains ( 19 	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB7967	isolation_source	69	residual(69/69=100%_blank)	wide_mix_skip	Mixed invasive clinical specimens: liver abscess, community-acquired pneumonia, blood, and unspecified clinical sources across 69 isolates; no single specimen type reaches ~95% and the EBI title explicitly flags 'different clinical origin'			Thirty of the isolates were isolated from cases of community-acquired liver abscess or pneumonia and were therefore considered hypervirulent ... 35 clinical but nonhypervirulent strains, including nine strains belonging to the carbapenem-resistant ST258 clone, were subjected to whole-genome sequencing ... two additional K1 blood isolates were included	pneumoniae infections, primarily in the form of pyogenic liver abscesses, has emerged ( 2 – 5 ). … pneumoniae has become the most common etiologic agent of liver abscess over the last decades. … pneumoniae liver abscess is now considered an endemic disease in Taiwan, where an almost 60% rise in the annual incidence from 1996 to 2004 has been observed ( 6 ). … 2% of liver abscess cases in 2004 and 2005 were caused by K.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA259658	isolation_source	69	residual(69/73=95%_blank)	wide_mix_skip	Only 4 of 73 samples have non-blank isolation_source values in ENA (urine x2, excreted bodily substance x1, abdomen x1), representing a mix of specimen types with no single dominant value at >=95%; the paper describes isolates as 'clinical' but does not assign a uniform specimen type			Ninety-seven Enterobacter sp. clinical isolates were collected from patients at 16 health care institutions in the United States, South America, and the Mediterranean region.	The first strain of an Enterobacter species carrying plasmid-encoded bla KPC-2 was obtained from a patient with sepsis at a Boston hospital in 2001 ( 9 ). … The GC content and GC skew of strain 34978 are plotted, and prophage locations are indicated by orange rectangles. … Moreover, a similar pKPC_UVA01-like plasmid (pKPC-f91) was found in strain ECNIH2, isolated from a sink drain at the National Institutes of Health (NIH) Clinical Center (see Fig. … p34998-E carries a plasmid backbone similar to that of the other IncA/C plasmids pRA1 ( 28 ) (IncA/C reference plasmid isolated in 1971 from Aeromonas hydrophila ) and p35734-C (isolated from strain BK35734) (see Fig.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB43945	collection_date	68	residual(68/68=100%_blank)	wide_mix_skip	collection span None months (?–?); no_dates				Articles Pan-pathogen deep sequencing of nosocomial bacterial pathogens in Italy in spring 2020: a prospective cohort study HarryAThorpe,MaijuPesonen*,MartaCorbella*,HenriPesonen,StefanoGaiarsa,ChristineJBoinett,GerryTonkin-Hill,TommiMäklin, AnnaKPöntinen,NeilMacAlasdair,RebeccaAGladstone,SergioArredondo-Alonso,TeemuKallonen,DorotaJamrozy,StephanieWLo, ChrispinChaguza,GraceABlackwell,AnttiHonkela,AnitaCSchürch,RobJLWillems,CristinaMerla,GretaPetazzoni,EdwardJFeil,PatriziaCambieri, NicholasRThomson†,StephenDBentley†,DavideSassera†,JukkaCorander† Summary Background Nosocomial infections pose a considerable risk to patients who are susceptible, and this is particularly LancetMicrobe2024;5:10089	local_pdf		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB43945	isolation_source	68	residual(68/68=100%_blank)	wide_mix_skip	Wide mix of nasal swabs (carriage screening), rectal swabs (carriage screening), and respiratory samples (diagnostic/clinical) — invasive/clinical sites mixed with colonisation screening specimens			1130 clinical samples (497 rectal swabs, 439 nasal swabs, and 194 respiratory samples)	Inpatientsonbothordinaryandintensivecareunit(ICU)wardsattheSanMatteohospital, ofOslo,Oslo,Norway Paviaweresampledonmultipleoccasionstoidentifybacterialpathogensfromrespiratory,nasal,andrectalsamples. … (HAThorpePhD,MPesonenPhD, Diagnostic samples collected between April 7 and May 10, 2020 were cultured on six different selective media HPesonenDSc,GTonkin-HillPhD, designed to enrich for Acinetobacter baumannii, Escherichia coli, Enterococcus faecium, Enterococcus faecalis, Klebsiella AKPöntinenPhD, NMacAlasdairPhD, pneumoniae, Pseudomonas aeruginosa, Staphylococcus aureus, and Streptococcus pneumoniae, and DNA from each RAGladstonePhD, plate with positive growth was deep sequenced en masse. …	local_pdf		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA903550	isolation_source	67	residual(67/67=100%_blank)	wide_mix_skip	Wide mix of screening/carriage specimens and invasive/clinical specimens across multiple body sites — rectal/nasal/throat swabs (screening) mixed with wound/pus and urine			Type of material: Swabs from nose/throat/rectum/perineum 26, Wound/pus 10, Urine 3 (CPE subset); for CPPA: Swabs from nose/throat/rectum/perineum 6, Wound/pus 6	Active MDRO screening and infection prevention measures (e. … The European Centre for Disease Prevention and Control (ECDC) advised to pre-emptively isolate patients transferred from hospitals in Ukraine or with a history of hospital admission in Ukraine in the last 12 months and to screen for carriage of MDRO [ 6 ]. … However, these percentages are based on isolates from hospitalised patients and may therefore not be representative for MDRO carriage in the community [ 3 , 7 ]. … From 1 March to 31 August 2022, 47 CPE, 12 CPPA, three CRAB and 13 MRSA isolates from 56 patients originating from Ukraine were submitted to the national surveillance ( Figure , panels A-D), representing 21% (CPE), 	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB26075	collection_date	65	residual(65/65=100%_blank)	wide_mix_skip	collection span None months (?–?); no_dates					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB26075	country	65	residual(65/65=100%_blank)	wide_mix_skip	International multi-country trial with no dominant country identifiable from available evidence			development of an international randomized clinical trial		none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB78367	isolation_source	64	residual(64/64=100%_blank)	wide_mix_skip	No specimen type information available — EBI description says only 'patients attending regional referral hospitals'; no ENA distribution and no paper breakdown of specimen types for these 64 Tanzania Klebsiella isolates			Klebsiella spp. isolates collected at six regional referral hospitals in Tanzania in 2020-2021.	27 million deaths per year were directly attributable to AMR in 2019 making it the leading contributor of global deaths ( 1 ). … However, to be effective, genomic surveillance relies on robust bacteriology services, trained personnel with microbiology expertise, and adherence to laboratory best practices to ensure that suitable, reliable and high-quality samples are obtained. … The objectives of the SeqAfrica project are to expand, develop, and consolidate WGS and bioinformatics in Sub-Saharan Africa, with a focus on AMR across all One Health sectors, directly supporting African Union and WHO framework objectives to strengthen AMR surveillance systems, harmonize data generation, and build wo	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB51676	host	63	reinjected_committed_decision								human	curator-accepted suggested value (2026-07-07)
PRJEB59403	host	59	tight_cluster_escalate	tight_cluster_escalate	All 59 Klebsiella isolates are from aquatic environmental water sources (hospital wastewater, WWTP effluents, river water) — a homogeneous environmental-water category; hospital wastewater alone accounts for ~70% of Klebsiella isolates (40/57) and WWTP outlets a further ~12% (7/57), making wastewater the dominant host environment at ~82%	wastewater		samples were collected from the wastewater of seven hospitals (n=76), six WWTPs (n=60) and their effluents (river water upstream and downstream of the WWTPs; taken 500m up and down of the effluent; n=110)	Fischerb,1,BerndNeumannb,c,KatjaKiesewettera,InesHoffmannd, ⁎ GuidoWernerb,YvonnePfeiferb,1,ChristophLübberte,f, ,1 aLimbachAnalyticsGmbH,D-68229Mannheim,Germany bDivisionofNosocomialPathogensandAntibioticResistances,DepartmentofInfectiousDiseases,RobertKochInstitute,WernigerodeBranch,D-38855Wernigerode,Germany cInstituteforHospitalHygiene,MedicalMicrobiologyandClinicalInfectiology,ParacelsusMedicalUniversity,NurembergGeneralHospital,D-90419Nuremberg,Germany dMVZDr. … coliST635,whichisnotknownto causehumaninfections,couldserveasreservoirs/vectorsforthespreadofcarbapenemasegenesintheenvironment. … Transportofthesamplestothelaboratorywasdonein Meta-analyses show a higher mortality of patients 	local_pdf	wastewater	
PRJNA592157	isolation_source	58	residual(58/58=100%_blank)	wide_mix_skip	Five distinct clinical infection specimen types (blood, urine, pulmonary aspirates, sputum, wounds) with no stated counts per type and no single value plausibly at ≥95%; none are carriage/screening sites, but the mix spans genuinely different anatomical compartments without a clear dominant source.			Isolates originated from blood, urine, pulmonary aspirates, sputum, and wounds and were each collected from different patients, for an initial collection of 70 unique isolates.	However, CRKP are generally less well described in resource-poor nations than in industrialized countries and those having well developed antimicrobial resistance (AMR) surveillance networks [ 10 , 11 ]. … MATERIALS AND METHODS Samples and Phenotypic Testing Isolate collection was conducted over 3 consecutive months from October to December 2016 in Lima, Peru at Hospital Nacional Dos de Mayo, a 600-bed public teaching hospital located in the downtown area. … Antibiotic resistance testing was performed in the hospital microbiology laboratory as part of routine clinical care, with the majority of samples tested using BD Phoenix machine (27 samples) and the remainder with disk diffusion assays 	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA329105	isolation_source	57	residual(57/57=100%_blank)	wide_mix_skip	No paper text or ENA specimen distribution available; cannot determine whether isolation_source values are homogeneous or dominated by a single specimen type					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA918858	collection_date	54	residual(54/54=100%_blank)	wide_mix_skip	collection span None months (?–?); no_dates				22%) families, and were inserted as a single fragment into the ORF or between the promoter and the ORF ( Table 3 and Figure 2 ). … There was no amplification for the mgr B gene in one mutant using the primers described above, which was probably related to the loss of this region during a deletion event. … , 2007, with E. … To our knowledge, S36K was identified for the first time in the isolates obtained in the present study, although this was defined as neutral.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA918858	host	54	uniform_propose	uniform_propose	All isolates are clinical K. pneumoniae from human patients admitted to university hospitals	human		Nine clinical isolates of K. pneumoniae producing OXA-48 were cultured from samples of different patients admitted to the University Hospital Reina Sofía (Córdoba, Spain), the University Hospital Paz (Madrid, Spain) or the University Hospital Marques de Valdecilla (Santander, Spain)	Heteroresistance to Colistin in Clinical Isolates of <i>Klebsiella pneumoniae</i> Producing OXA-48. … The WHO has included these organisms in its priority list of resistant bacteria because of their clinical importance [ 1 , 2 , 3 , 4 , 5 ]. … pneumoniae clinical isolates [ 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 ]. … The main aim of this study was to evaluate whether clinical isolates of K.	europepmc_fulltext	human	curator-accepted suggested value (2026-07-07)
PRJNA918858	isolation_source	54	residual(54/54=100%_blank)	wide_mix_skip	Mixed: 9 parental clinical isolates (specimen type unspecified, from hospital patients) plus 45 laboratory-derived stable mutants selected via PAP assay — mutants have no valid primary isolation_source per rubric, and parental specimen types are not stated			Nine clinical isolates of Klebsiella pneumoniae producing OXA-48 were cultured from samples of different patients admitted to the University Hospital Reina Sofía (Córdoba, Spain), the University Hospital Paz (Madrid, Spain) or the University Hospital Marques de Valdecilla (Santander, Spain)... Genomic DNA (gDNA) of the nine parental isolates producing OXA-48 and five resistant colony mutants from each parental isolate was extracted	Different deletions have been reported as being isolated from K. … Using site-directed mutagenesis, Cheng et al. … pneumoniae producing OXA-48 isolates from Spain, with a high proportion of colistin-resistant mutant isolates, and a genome with insertions in the mgr B gene and mutations in other related genes. … pneumoniae producing OXA-48 were cultured from samples of different patients admitted to the University Hospital Reina Sofía (Córdoba, Spain), the University Hospital Paz (Madrid, Spain) or the University Hospital Marques de Valdecilla (Santander, Spain) ( Table 1 ).	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA231221	collection_date	51	residual(51/84=61%_blank)	wide_mix_skip	collection span None months (?–?); no_dates				For example, isolate shotgun sequencing information uncovered unexpected transmission routes during multi-drug resistant nosocomial organism outbreaks 3 – 5 . … coli clonotypes from patient’s direct urine samples 6 , or to detect ciprofloxacin resistance markers 7 , resulting in antimicrobial susceptibility data and improvement in clinical outcome prediction. … Infectious disease next generation sequencing (ID-NGS) diagnostics, with the potential to identify any microbial organism or genomic marker from a patient sample in a single test, are poised to enter the clinical diagnostic laboratory 9 – 11 . … A follow-up erratum by the same group 13 revealed the lack of evidence for biothreat organ	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA237670	isolation_source	51	residual(51/84=61%_blank)	wide_mix_skip	Wide mix of infection and carriage sites: blood, urine, sputum, wound, BAL, respiratory, and rectal swab — invasive sites are mixed with carriage/screening specimens, precluding adoption of a single dominant value			These clinical isolates were cultured from blood, urine, sputum, or skin of infected individuals or from a rectal swab over a time period encompassing 2003–2012	StrainsofST258areresistanttoallβ-lactamantibiotics ThisarticleisaPNASDirectSubmission. … Whether the morphology, were obtained in 2010 from patients with urinary prophagesorothermobilegeneticelements(MGEs)presentinthe tract infections at two separate healthcare institutions in New ST258 lineage have contributed to its recent success remains to Jersey (Dataset S1). … Notablefeatures,suchasprophages(Phage)andotherMGEsorvariableregions,areindicatedbyrectangles. … Theseclinicalisolateswereculturedfromblood,urine, tRNA,n 77 86 sputum,orskinofinfectedindividualsorfromarectalswabover Plasmids,n 5 3 a time period encompassing 2003–2012 (Dataset S1).	pdf		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
